variant,workload,effectivePixels_mpix,compute_mean_ms,compute_p95_ms,latency_mean_ms,latency_p95_ms,throughput_mpix_sec,throughput_std,cpu_percent,mem_peak_rss_mb,el_lag_p95_ms,num_runs
js_pure,tiny_128x128_k3_p1,0.016,0.766,0.787,0.768,0.79,21.305,0.238,103.914,116.794,0.001,7
js_pure,ultra_3840x2160_k31_p5,41.472,10094.019,10172.404,10094.049,10172.432,4.109,0.022,99.97,1440.375,0.001,7
js_pure,heavy_2560x1440_k31_p5,18.432,4495.824,4535.794,4495.848,4535.821,4.1,0.022,99.973,1403.103,0.001,7
js_pure,large_1920x1080_k15_p10,20.736,2618.33,2644.806,2618.354,2644.836,7.92,0.054,100.057,1389.658,0.001,7
js_pure,small_512x512_k5_p1,0.262,15.503,16.005,15.519,16.027,16.883,0.241,104.164,1529.957,0.001,7
js_pure,medium_1920x1080_k15_p1,2.074,268.711,284.385,268.735,284.409,7.717,0.088,101.216,1505.843,0.001,7
js_worker,small_512x512_k5_p1,0.262,16.421,19.175,16.795,20.32,15.613,0.35,117.258,1754.599,17.096,7
js_worker,ultra_3840x2160_k31_p5,41.472,10270.185,10306.898,10270.753,10307.426,4.038,0.018,100.108,1365.118,16.294,7
js_worker,heavy_2560x1440_k31_p5,18.432,4587.328,4614.194,4587.773,4614.667,4.018,0.019,100.169,1674.906,16.294,7
js_worker,medium_1920x1080_k15_p1,2.074,273.924,297.867,274.301,298.542,7.561,0.118,101.151,1759.805,16.316,7
js_worker,large_1920x1080_k15_p10,20.736,2660.859,2684.039,2661.327,2685.375,7.792,0.047,100.144,1728.028,16.207,7
js_worker,tiny_128x128_k3_p1,0.016,0.789,0.893,0.829,0.956,19.746,0.268,103.743,203.673,10.578,7
js_wasm,heavy_2560x1440_k31_p5,18.432,4562.196,4594.799,4562.216,4594.822,4.04,0.016,99.933,1499.281,0.001,7
js_wasm,medium_1920x1080_k15_p1,2.074,286.748,300.539,286.765,300.557,7.233,0.121,99.948,1541.597,0.001,7
js_wasm,large_1920x1080_k15_p10,20.736,2806.554,2818.641,2806.573,2818.661,7.388,0.025,99.932,1498.953,0.001,7
js_wasm,tiny_128x128_k3_p1,0.016,1.016,1.036,1.018,1.038,16.081,0.103,99.943,127.862,0.001,7
js_wasm,small_512x512_k5_p1,0.262,19.553,19.703,19.56,19.711,13.401,0.042,99.796,1541.266,0.001,7
js_wasm,ultra_3840x2160_k31_p5,41.472,9857.411,9930.635,9857.432,9930.656,4.207,0.02,99.931,1491.719,0.001,7
js_worker_wasm,tiny_128x128_k3_p1,0.016,1.029,1.07,1.066,1.122,15.362,0.075,102.522,253.834,10.71,7
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,4570.641,4587.408,4570.927,4587.731,4.032,0.011,100.077,1662.578,16.356,7
js_worker_wasm,small_512x512_k5_p1,0.262,19.678,19.842,19.917,20.796,13.161,0.053,101.948,1913.93,19.684,7
js_worker_wasm,medium_1920x1080_k15_p1,2.074,284.578,286.231,284.865,287.047,7.279,0.017,99.98,1938.821,16.382,7
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,9846.831,9878.565,9847.219,9879.001,4.212,0.018,100.087,1529.691,16.344,7
js_worker_wasm,large_1920x1080_k15_p10,20.736,2811.575,2821.354,2811.828,2821.759,7.375,0.024,100.183,1940.297,16.356,7
js_wasm_simd,heavy_2560x1440_k31_p5,18.432,4045.236,4067.665,4045.255,4067.684,4.557,0.026,99.974,1626.253,0.001,7
js_wasm_simd,small_512x512_k5_p1,0.262,19.298,19.413,19.305,19.424,13.579,0.123,99.415,1668.229,0.001,7
js_wasm_simd,large_1920x1080_k15_p10,20.736,2587.072,2596.626,2587.091,2596.645,8.016,0.083,99.956,1625.903,0.001,7
js_wasm_simd,medium_1920x1080_k15_p1,2.074,261.388,262.759,261.404,262.774,7.933,0.067,100.417,1668.557,0.001,7
js_wasm_simd,tiny_128x128_k3_p1,0.016,1.026,1.052,1.028,1.055,15.935,0.175,102.428,116.401,0.001,7
js_wasm_simd,ultra_3840x2160_k31_p5,41.472,8698.957,8749.948,8698.978,8749.97,4.768,0.02,99.956,1618.68,0.001,7
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,1.03,1.052,1.066,1.096,15.357,0.09,102.114,306.588,10.691,7
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,2581.298,2587.608,2581.557,2587.788,8.032,0.028,100.127,2156.85,16.34,7
js_worker_wasm_simd,small_512x512_k5_p1,0.262,19.373,19.675,19.62,20.165,13.36,0.078,102.46,2109.85,19.445,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,261.469,262.931,261.782,263.605,7.921,0.03,100.269,2155.392,16.377,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,4042.394,4054.725,4042.671,4054.974,4.559,0.018,100.142,1768.41,16.352,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,8709.747,8735.238,8710.129,8735.643,4.761,0.018,100.104,1765.832,16.35,7
