variant,workload,width,height,kernelSize,passes,effectivePixels,effectivePixels_mpix,throughput_mpix_sec,throughput_std,compute_mean_ms,latency_mean_ms
js_pure,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,21.305,0.238,0.766,0.768
js_pure,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.109,0.022,10094.019,10094.049
js_pure,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.1,0.022,4495.824,4495.848
js_pure,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,7.92,0.054,2618.33,2618.354
js_pure,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,16.883,0.241,15.503,15.519
js_pure,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.717,0.088,268.711,268.735
js_worker,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,15.613,0.35,16.421,16.795
js_worker,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.038,0.018,10270.185,10270.753
js_worker,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.018,0.019,4587.328,4587.773
js_worker,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.561,0.118,273.924,274.301
js_worker,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,7.792,0.047,2660.859,2661.327
js_worker,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,19.746,0.268,0.789,0.829
js_wasm,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.04,0.016,4562.196,4562.216
js_wasm,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.233,0.121,286.748,286.765
js_wasm,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,7.388,0.025,2806.554,2806.573
js_wasm,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,16.081,0.103,1.016,1.018
js_wasm,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,13.401,0.042,19.553,19.56
js_wasm,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.207,0.02,9857.411,9857.432
js_worker_wasm,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,15.362,0.075,1.029,1.066
js_worker_wasm,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.032,0.011,4570.641,4570.927
js_worker_wasm,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,13.161,0.053,19.678,19.917
js_worker_wasm,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.279,0.017,284.578,284.865
js_worker_wasm,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.212,0.018,9846.831,9847.219
js_worker_wasm,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,7.375,0.024,2811.575,2811.828
js_wasm_simd,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.557,0.026,4045.236,4045.255
js_wasm_simd,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,13.579,0.123,19.298,19.305
js_wasm_simd,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,8.016,0.083,2587.072,2587.091
js_wasm_simd,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.933,0.067,261.388,261.404
js_wasm_simd,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,15.935,0.175,1.026,1.028
js_wasm_simd,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.768,0.02,8698.957,8698.978
js_worker_wasm_simd,tiny_128x128_k3_p1,128.0,128.0,3.0,1.0,16384.0,0.016,15.357,0.09,1.03,1.066
js_worker_wasm_simd,large_1920x1080_k15_p10,1920.0,1080.0,15.0,10.0,20736000.0,20.736,8.032,0.028,2581.298,2581.557
js_worker_wasm_simd,small_512x512_k5_p1,512.0,512.0,5.0,1.0,262144.0,0.262,13.36,0.078,19.373,19.62
js_worker_wasm_simd,medium_1920x1080_k15_p1,1920.0,1080.0,15.0,1.0,2073600.0,2.074,7.921,0.03,261.469,261.782
js_worker_wasm_simd,heavy_2560x1440_k31_p5,2560.0,1440.0,31.0,5.0,18432000.0,18.432,4.559,0.018,4042.394,4042.671
js_worker_wasm_simd,ultra_3840x2160_k31_p5,3840.0,2160.0,31.0,5.0,41472000.0,41.472,4.761,0.018,8709.747,8710.129
