variant,workload,variant_throughput_mpix_sec,js_pure_throughput_mpix_sec,speedup
js_pure,tiny_128x128_k3_p1,21.305,21.305,1.0
js_pure,ultra_3840x2160_k31_p5,4.109,4.109,1.0
js_pure,heavy_2560x1440_k31_p5,4.1,4.1,1.0
js_pure,large_1920x1080_k15_p10,7.92,7.92,1.0
js_pure,small_512x512_k5_p1,16.883,16.883,1.0
js_pure,medium_1920x1080_k15_p1,7.717,7.717,1.0
js_worker,small_512x512_k5_p1,15.613,16.883,0.925
js_worker,ultra_3840x2160_k31_p5,4.038,4.109,0.983
js_worker,heavy_2560x1440_k31_p5,4.018,4.1,0.98
js_worker,medium_1920x1080_k15_p1,7.561,7.717,0.98
js_worker,large_1920x1080_k15_p10,7.792,7.92,0.984
js_worker,tiny_128x128_k3_p1,19.746,21.305,0.927
js_wasm,heavy_2560x1440_k31_p5,4.04,4.1,0.985
js_wasm,medium_1920x1080_k15_p1,7.233,7.717,0.937
js_wasm,large_1920x1080_k15_p10,7.388,7.92,0.933
js_wasm,tiny_128x128_k3_p1,16.081,21.305,0.755
js_wasm,small_512x512_k5_p1,13.401,16.883,0.794
js_wasm,ultra_3840x2160_k31_p5,4.207,4.109,1.024
js_worker_wasm,tiny_128x128_k3_p1,15.362,21.305,0.721
js_worker_wasm,heavy_2560x1440_k31_p5,4.032,4.1,0.984
js_worker_wasm,small_512x512_k5_p1,13.161,16.883,0.78
js_worker_wasm,medium_1920x1080_k15_p1,7.279,7.717,0.943
js_worker_wasm,ultra_3840x2160_k31_p5,4.212,4.109,1.025
js_worker_wasm,large_1920x1080_k15_p10,7.375,7.92,0.931
js_wasm_simd,heavy_2560x1440_k31_p5,4.557,4.1,1.111
js_wasm_simd,small_512x512_k5_p1,13.579,16.883,0.804
js_wasm_simd,large_1920x1080_k15_p10,8.016,7.92,1.012
js_wasm_simd,medium_1920x1080_k15_p1,7.933,7.717,1.028
js_wasm_simd,tiny_128x128_k3_p1,15.935,21.305,0.748
js_wasm_simd,ultra_3840x2160_k31_p5,4.768,4.109,1.16
js_worker_wasm_simd,tiny_128x128_k3_p1,15.357,21.305,0.721
js_worker_wasm_simd,large_1920x1080_k15_p10,8.032,7.92,1.014
js_worker_wasm_simd,small_512x512_k5_p1,13.36,16.883,0.791
js_worker_wasm_simd,medium_1920x1080_k15_p1,7.921,7.717,1.026
js_worker_wasm_simd,heavy_2560x1440_k31_p5,4.559,4.1,1.112
js_worker_wasm_simd,ultra_3840x2160_k31_p5,4.761,4.109,1.159
