variant,workload,effectivePixels_mpix,worker_overhead_ms,overhead_percent,compute_mean_ms,latency_mean_ms,el_lag_p95_ms,el_lag_max_ms,throughput_mpix_sec
js_worker,tiny_128x128_k3_p1,0.016,0.04,4.829,0.789,0.829,10.578,10.729,19.746
js_worker,small_512x512_k5_p1,0.262,0.374,2.228,16.421,16.795,17.096,20.131,15.613
js_worker,medium_1920x1080_k15_p1,2.074,0.377,0.138,273.924,274.301,16.316,21.587,7.561
js_worker,ultra_3840x2160_k31_p5,41.472,0.568,0.006,10270.185,10270.753,16.294,21.648,4.038
js_worker,large_1920x1080_k15_p10,20.736,0.468,0.018,2660.859,2661.327,16.207,21.866,7.792
js_worker,heavy_2560x1440_k31_p5,18.432,0.445,0.01,4587.328,4587.773,16.294,21.709,4.018
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,0.387,0.004,9846.831,9847.219,16.344,21.903,4.212
js_worker_wasm,tiny_128x128_k3_p1,0.016,0.037,3.47,1.029,1.066,10.71,10.928,15.362
js_worker_wasm,small_512x512_k5_p1,0.262,0.239,1.199,19.678,19.917,19.684,20.274,13.161
js_worker_wasm,medium_1920x1080_k15_p1,2.074,0.287,0.101,284.578,284.865,16.382,22.224,7.279
js_worker_wasm,large_1920x1080_k15_p10,20.736,0.252,0.009,2811.575,2811.828,16.356,21.838,7.375
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,0.286,0.006,4570.641,4570.927,16.356,21.339,4.032
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,0.277,0.007,4042.394,4042.671,16.352,21.571,4.559
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,0.313,0.119,261.469,261.782,16.377,21.571,7.921
js_worker_wasm_simd,small_512x512_k5_p1,0.262,0.246,1.256,19.373,19.62,19.445,19.757,13.36
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,0.036,3.379,1.03,1.066,10.691,10.809,15.357
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,0.259,0.01,2581.298,2581.557,16.34,21.976,8.032
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,0.382,0.004,8709.747,8710.129,16.35,21.681,4.761
