variant,workload,concurrency,poolSize,effectivePixels_mpix,throughput_mpix_sec,throughput_std,latency_mean_ms,latency_p95_ms,compute_mean_ms,cpu_percent,el_lag_p95_ms,el_lag_severity,mem_peak_rss_mb,num_runs
js_pure,small_512x512_k5_p1,1,1,0.262,16.683,0.129,15.712,16.005,15.708,100.168,0.001,healthy,4093.667,7
js_pure,tiny_128x128_k3_p1,1,1,0.016,20.953,0.391,0.782,0.844,0.78,103.835,0.001,healthy,537.939,7
js_pure,medium_1920x1080_k15_p1,1,1,2.074,7.653,0.065,270.965,281.242,270.944,101.441,0.001,healthy,4074.767,7
js_pure,heavy_2560x1440_k31_p5,1,1,18.432,4.032,0.021,4571.397,4594.049,4571.374,100.039,0.001,healthy,3941.332,7
js_pure,large_1920x1080_k15_p10,1,1,20.736,7.81,0.035,2655.103,2667.392,2655.08,100.053,0.001,healthy,3932.842,7
js_pure,ultra_3840x2160_k31_p5,1,1,41.472,4.047,0.016,10247.214,10292.412,10247.188,100.026,0.001,healthy,3986.002,7
js_worker,medium_1920x1080_k15_p1,1,1,2.074,7.583,0.079,273.486,296.105,273.116,101.612,16.283,healthy,2245.145,7
js_worker,small_512x512_k5_p1,1,1,0.262,15.503,0.307,16.913,21.717,16.573,108.213,16.916,healthy,2237.215,7
js_worker,heavy_2560x1440_k31_p5,1,1,18.432,4.03,0.016,4573.439,4605.612,4573.002,100.088,16.309,healthy,2231.657,7
js_worker,large_1920x1080_k15_p10,1,1,20.736,7.805,0.04,2656.695,2666.444,2656.221,100.046,16.276,healthy,2243.917,7
js_worker,large_1920x1080_k15_p10,4,4,20.736,29.425,0.19,2800.338,2835.91,2800.033,397.729,15.859,healthy,2863.238,7
js_worker,large_1920x1080_k15_p10,8,8,20.736,47.907,0.785,2908.53,3013.245,2908.142,672.698,15.88,healthy,4356.364,7
js_worker,large_1920x1080_k15_p10,16,16,20.736,49.408,0.335,5020.824,5652.508,5020.244,1193.348,33.044,degraded,7787.429,7
js_worker,medium_1920x1080_k15_p1,4,4,2.074,27.637,0.567,289.306,309.729,288.986,390.182,16.171,healthy,2784.261,7
js_worker,medium_1920x1080_k15_p1,8,8,2.074,43.852,3.916,322.558,384.287,322.32,684.719,18.357,healthy,4325.033,7
js_worker,medium_1920x1080_k15_p1,16,16,2.074,45.761,1.295,532.089,602.76,531.429,1170.615,30.386,degraded,7563.334,7
js_worker,ultra_3840x2160_k31_p5,1,1,41.472,4.051,0.014,10236.748,10274.976,10236.187,100.114,16.296,healthy,1907.783,7
js_worker,small_512x512_k5_p1,4,4,0.262,51.135,1.136,19.307,24.945,19.113,463.585,19.203,healthy,2645.301,7
js_worker,heavy_2560x1440_k31_p5,4,4,18.432,15.247,0.054,4818.192,4852.356,4817.762,398.488,15.837,healthy,2956.546,7
js_worker,heavy_2560x1440_k31_p5,8,8,18.432,24.796,0.448,4990.277,5101.695,4989.793,671.852,15.864,healthy,4554.485,7
js_worker,ultra_3840x2160_k31_p5,16,16,41.472,25.396,0.045,19597.005,21835.944,19595.627,1196.454,33.058,degraded,8563.818,7
js_worker,ultra_3840x2160_k31_p5,4,4,41.472,15.31,0.067,10797.079,10861.993,10796.463,398.65,15.842,healthy,3016.366,7
js_worker,tiny_128x128_k3_p1,1,1,0.016,20.141,0.18,0.813,0.883,0.78,101.444,10.502,healthy,390.685,7
js_worker,ultra_3840x2160_k31_p5,8,8,41.472,25.093,0.071,11058.283,11186.171,11057.706,669.146,15.853,healthy,4378.756,7
js_worker,small_512x512_k5_p1,8,8,0.262,60.601,2.528,31.716,42.059,31.054,943.752,15.842,healthy,3980.978,7
js_worker,tiny_128x128_k3_p1,8,8,0.016,125.183,5.414,1.04,1.585,0.99,852.872,10.509,healthy,678.241,7
js_worker,tiny_128x128_k3_p1,4,4,0.016,75.042,0.704,0.87,0.982,0.833,410.641,10.84,healthy,446.304,7
js_worker,tiny_128x128_k3_p1,16,16,0.016,121.654,5.015,2.131,3.717,1.874,1653.344,10.41,healthy,1248.039,7
js_worker,small_512x512_k5_p1,16,16,0.262,50.468,2.943,68.234,92.122,65.941,1418.713,24.068,degraded,7295.302,7
js_worker,heavy_2560x1440_k31_p5,16,16,18.432,25.407,0.344,8613.349,9580.504,8612.355,1184.727,33.007,degraded,8076.582,7
js_worker_wasm,heavy_2560x1440_k31_p5,16,16,18.432,25.892,0.058,8479.998,9418.196,8478.044,1188.004,33.021,degraded,9488.997,7
js_worker_wasm,heavy_2560x1440_k31_p5,8,8,18.432,24.877,0.104,4957.205,5033.45,4956.883,669.246,15.854,healthy,5155.122,7
js_worker_wasm,heavy_2560x1440_k31_p5,4,4,18.432,15.282,0.068,4816.517,4843.326,4816.214,399.022,15.84,healthy,2994.651,7
js_worker_wasm,heavy_2560x1440_k31_p5,1,1,18.432,4.034,0.014,4569.369,4594.507,4569.077,100.096,16.313,healthy,2354.235,7
js_worker_wasm,large_1920x1080_k15_p10,1,1,20.736,7.374,0.027,2811.887,2821.562,2811.661,100.045,16.316,healthy,2401.387,7
js_worker_wasm,ultra_3840x2160_k31_p5,1,1,41.472,4.215,0.016,9839.218,9889.905,9838.84,100.086,16.306,healthy,1989.282,7
js_worker_wasm,ultra_3840x2160_k31_p5,4,4,41.472,15.941,0.074,10395.315,10439.716,10394.875,399.29,15.832,healthy,3129.593,7
js_worker_wasm,ultra_3840x2160_k31_p5,8,8,41.472,25.936,0.128,10702.72,10853.372,10702.3,669.469,15.849,healthy,5154.446,7
js_worker_wasm,ultra_3840x2160_k31_p5,16,16,41.472,25.999,0.057,19247.044,21494.059,19243.817,1202.627,33.058,degraded,10260.757,7
js_worker_wasm,large_1920x1080_k15_p10,4,4,20.736,27.961,0.105,2959.127,2977.124,2958.918,398.33,15.835,healthy,2963.222,7
js_worker_wasm,tiny_128x128_k3_p1,16,16,0.016,133.067,1.398,1.944,2.128,1.857,1570.26,10.283,healthy,1457.984,7
js_worker_wasm,large_1920x1080_k15_p10,16,16,20.736,48.344,0.113,5068.724,5608.939,5067.386,1179.248,32.983,degraded,9224.191,7
js_worker_wasm,tiny_128x128_k3_p1,8,8,0.016,109.108,2.704,1.191,1.736,1.148,829.833,10.277,healthy,784.272,7
js_worker_wasm,tiny_128x128_k3_p1,4,4,0.016,59.74,0.586,1.092,1.152,1.054,388.879,10.32,healthy,482.258,7
js_worker_wasm,tiny_128x128_k3_p1,1,1,0.016,15.572,0.118,1.051,1.092,1.015,101.863,10.595,healthy,407.987,7
js_worker_wasm,small_512x512_k5_p1,1,1,0.262,13.132,0.092,19.961,20.406,19.713,100.686,19.684,healthy,2356.54,7
js_worker_wasm,small_512x512_k5_p1,4,4,0.262,48.092,1.055,21.237,23.703,21.03,390.661,19.546,healthy,2720.362,7
js_worker_wasm,large_1920x1080_k15_p10,8,8,20.736,45.511,0.173,3051.952,3103.515,3051.438,669.844,15.86,healthy,4914.657,7
js_worker_wasm,small_512x512_k5_p1,16,16,0.262,80.683,0.839,38.348,43.537,37.455,1091.701,13.902,healthy,8903.647,7
js_worker_wasm,medium_1920x1080_k15_p1,8,8,2.074,43.843,0.407,317.357,335.728,317.071,669.681,15.96,healthy,4914.834,7
js_worker_wasm,medium_1920x1080_k15_p1,16,16,2.074,45.337,0.09,541.436,602.731,540.239,1183.706,27.891,degraded,9263.605,7
js_worker_wasm,small_512x512_k5_p1,8,8,0.262,77.426,1.167,23.657,30.337,23.163,783.595,16.368,healthy,4599.434,7
js_worker_wasm,medium_1920x1080_k15_p1,4,4,2.074,27.266,0.205,302.77,307.683,302.422,401.515,15.822,healthy,2878.777,7
js_worker_wasm,medium_1920x1080_k15_p1,1,1,2.074,7.28,0.026,284.817,286.893,284.512,100.668,16.364,healthy,2399.815,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,8,8,18.432,28.101,0.073,4393.41,4469.83,4393.101,669.819,15.853,healthy,6435.629,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,8,8,2.074,47.633,0.333,292.106,310.081,291.808,677.607,16.032,healthy,6276.728,7
js_worker_wasm_simd,tiny_128x128_k3_p1,16,16,0.016,135.6,0.863,1.903,2.051,1.818,1584.742,10.219,healthy,1651.723,7
js_worker_wasm_simd,tiny_128x128_k3_p1,8,8,0.016,106.333,1.034,1.223,1.823,1.179,819.761,10.193,healthy,884.56,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,8,8,41.472,29.315,0.116,9468.065,9607.184,9467.655,669.462,15.854,healthy,6474.435,7
js_worker_wasm_simd,tiny_128x128_k3_p1,4,4,0.016,59.359,0.516,1.1,1.148,1.063,394.757,10.405,healthy,471.552,7
js_worker_wasm_simd,tiny_128x128_k3_p1,1,1,0.016,15.306,0.148,1.07,1.114,1.031,112.484,10.675,healthy,432.534,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,16,16,2.074,49.24,0.162,497.132,553.597,495.704,1183.319,24.06,degraded,12051.165,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,1,1,41.472,4.762,0.017,8709.792,8733.228,8709.421,100.11,16.349,healthy,2153.339,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,4,4,41.472,18.025,0.074,9189.018,9229.678,9188.548,399.242,15.86,healthy,3686.247,7
js_worker_wasm_simd,small_512x512_k5_p1,4,4,0.262,49.795,0.572,20.769,21.704,20.532,396.665,19.783,degraded,3273.374,7
js_worker_wasm_simd,small_512x512_k5_p1,8,8,0.262,77.717,2.244,23.578,30.406,23.068,667.471,15.758,healthy,5956.259,7
js_worker_wasm_simd,small_512x512_k5_p1,1,1,0.262,13.364,0.049,19.614,20.23,19.384,101.266,19.436,healthy,2533.165,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,1,1,18.432,4.558,0.016,4044.096,4057.365,4043.818,100.105,16.358,healthy,2540.179,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,4,4,2.074,29.516,0.259,279.164,285.62,278.849,398.39,15.94,healthy,3439.376,7
js_worker_wasm_simd,large_1920x1080_k15_p10,16,16,20.736,52.803,0.049,4638.761,5134.55,4637.454,1175.854,33.0,degraded,12011.189,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,1,1,2.074,7.914,0.041,262.008,265.122,261.721,100.827,16.364,healthy,2577.458,7
js_worker_wasm_simd,small_512x512_k5_p1,16,16,0.262,84.015,0.918,36.935,41.938,36.052,1173.906,16.416,healthy,11706.719,7
js_worker_wasm_simd,large_1920x1080_k15_p10,4,4,20.736,30.442,0.148,2718.646,2733.861,2718.428,398.848,15.863,healthy,3515.699,7
js_worker_wasm_simd,large_1920x1080_k15_p10,1,1,20.736,8.037,0.034,2579.942,2586.18,2579.727,100.05,16.341,healthy,2578.96,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,4,4,18.432,17.265,0.066,4262.281,4285.151,4261.975,399.185,15.854,healthy,3563.331,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,16,16,18.432,29.214,0.048,7519.766,8348.967,7517.352,1188.238,33.032,degraded,12274.425,7
js_worker_wasm_simd,large_1920x1080_k15_p10,8,8,20.736,49.597,0.234,2800.116,2845.285,2799.663,670.21,15.854,healthy,6275.48,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,16,16,41.472,29.422,0.061,16992.888,18977.375,16989.943,1201.057,33.063,degraded,13110.883,7
