variant,workload,effectivePixels,effectivePixels_mpix,throughput_mpix_sec,compute_mean_ms,speedup_vs_jspure,compute_delta_ms,wasm_faster,pixels_M
js_pure,tiny_128x128_k3_p1,16384.0,0.016,21.305,0.766,1.0,0.0,False,0.02
js_pure,ultra_3840x2160_k31_p5,41472000.0,41.472,4.109,10094.019,1.0,0.0,False,41.47
js_pure,heavy_2560x1440_k31_p5,18432000.0,18.432,4.1,4495.824,1.0,0.0,False,18.43
js_pure,medium_1920x1080_k15_p1,2073600.0,2.074,7.717,268.711,1.0,0.0,False,2.07
js_pure,small_512x512_k5_p1,262144.0,0.262,16.883,15.503,1.0,0.0,False,0.26
js_pure,large_1920x1080_k15_p10,20736000.0,20.736,7.92,2618.33,1.0,0.0,False,20.74
js_worker,large_1920x1080_k15_p10,20736000.0,20.736,7.792,2660.859,0.984,42.529,False,20.74
js_worker,ultra_3840x2160_k31_p5,41472000.0,41.472,4.038,10270.185,0.983,176.166,False,41.47
js_worker,tiny_128x128_k3_p1,16384.0,0.016,19.746,0.789,0.927,0.023,False,0.02
js_worker,small_512x512_k5_p1,262144.0,0.262,15.613,16.421,0.925,0.918,False,0.26
js_worker,heavy_2560x1440_k31_p5,18432000.0,18.432,4.018,4587.328,0.98,91.504,False,18.43
js_worker,medium_1920x1080_k15_p1,2073600.0,2.074,7.561,273.924,0.98,5.213,False,2.07
js_wasm,medium_1920x1080_k15_p1,2073600.0,2.074,7.233,286.748,0.937,18.037,False,2.07
js_wasm,large_1920x1080_k15_p10,20736000.0,20.736,7.388,2806.554,0.933,188.224,False,20.74
js_wasm,small_512x512_k5_p1,262144.0,0.262,13.401,19.553,0.794,4.05,False,0.26
js_wasm,ultra_3840x2160_k31_p5,41472000.0,41.472,4.207,9857.411,1.024,-236.608,True,41.47
js_wasm,tiny_128x128_k3_p1,16384.0,0.016,16.081,1.016,0.755,0.25,False,0.02
js_wasm,heavy_2560x1440_k31_p5,18432000.0,18.432,4.04,4562.196,0.985,66.372,False,18.43
js_worker_wasm,ultra_3840x2160_k31_p5,41472000.0,41.472,4.212,9846.831,1.025,-247.188,True,41.47
js_worker_wasm,heavy_2560x1440_k31_p5,18432000.0,18.432,4.032,4570.641,0.983,74.817,False,18.43
js_worker_wasm,medium_1920x1080_k15_p1,2073600.0,2.074,7.279,284.578,0.943,15.867,False,2.07
js_worker_wasm,large_1920x1080_k15_p10,20736000.0,20.736,7.375,2811.575,0.931,193.245,False,20.74
js_worker_wasm,small_512x512_k5_p1,262144.0,0.262,13.161,19.678,0.78,4.175,False,0.26
js_worker_wasm,tiny_128x128_k3_p1,16384.0,0.016,15.362,1.029,0.721,0.263,False,0.02
js_wasm_simd,large_1920x1080_k15_p10,20736000.0,20.736,8.016,2587.072,1.012,-31.258,True,20.74
js_wasm_simd,ultra_3840x2160_k31_p5,41472000.0,41.472,4.768,8698.957,1.16,-1395.062,True,41.47
js_wasm_simd,heavy_2560x1440_k31_p5,18432000.0,18.432,4.557,4045.236,1.111,-450.588,True,18.43
js_wasm_simd,medium_1920x1080_k15_p1,2073600.0,2.074,7.933,261.388,1.028,-7.323,True,2.07
js_wasm_simd,small_512x512_k5_p1,262144.0,0.262,13.579,19.298,0.804,3.795,False,0.26
js_wasm_simd,tiny_128x128_k3_p1,16384.0,0.016,15.935,1.026,0.748,0.26,False,0.02
js_worker_wasm_simd,medium_1920x1080_k15_p1,2073600.0,2.074,7.921,261.469,1.026,-7.242,True,2.07
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18432000.0,18.432,4.559,4042.394,1.112,-453.43,True,18.43
js_worker_wasm_simd,small_512x512_k5_p1,262144.0,0.262,13.36,19.373,0.791,3.87,False,0.26
js_worker_wasm_simd,tiny_128x128_k3_p1,16384.0,0.016,15.357,1.03,0.721,0.264,False,0.02
js_worker_wasm_simd,large_1920x1080_k15_p10,20736000.0,20.736,8.032,2581.298,1.014,-37.032,True,20.74
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41472000.0,41.472,4.761,8709.747,1.159,-1384.272,True,41.47
