variant,workload,effectivePixels_mpix,el_lag_p95_ms,el_lag_p99_ms,el_lag_max_ms,cpu_percent,throughput_mpix_sec,mode,concurrency
js_pure,ultra_3840x2160_k31_p5,41.472,0.0005,0.0005,0.0,99.9704,4.1087,single,1
js_pure,tiny_128x128_k3_p1,0.016,0.0005,0.0005,0.0,103.8351,20.9529,load_c1,1
js_pure,tiny_128x128_k3_p1,0.016,0.0005,0.0005,0.0,103.9138,21.3053,single,1
js_pure,heavy_2560x1440_k31_p5,18.432,0.0005,0.0005,0.0,99.9726,4.0999,single,1
js_pure,medium_1920x1080_k15_p1,2.074,0.0005,0.0005,0.0,101.4406,7.6533,load_c1,1
js_pure,heavy_2560x1440_k31_p5,18.432,0.0005,0.0005,0.0,100.0388,4.0321,load_c1,1
js_pure,large_1920x1080_k15_p10,20.736,0.0005,0.0005,0.0,100.0572,7.9198,single,1
js_pure,ultra_3840x2160_k31_p5,41.472,0.0005,0.0005,0.0,100.0259,4.0472,load_c1,1
js_pure,small_512x512_k5_p1,0.262,0.0005,0.0005,0.0,104.1642,16.8827,single,1
js_pure,small_512x512_k5_p1,0.262,0.0005,0.0005,0.0,100.1684,16.6832,load_c1,1
js_pure,large_1920x1080_k15_p10,20.736,0.0005,0.0005,0.0,100.0526,7.81,load_c1,1
js_pure,medium_1920x1080_k15_p1,2.074,0.0005,0.0005,0.0,101.2156,7.7168,single,1
js_worker,medium_1920x1080_k15_p1,2.074,16.2834,18.858,21.4467,101.6125,7.5827,load_c1,1
js_worker,large_1920x1080_k15_p10,20.736,16.2763,16.4589,22.0178,100.0461,7.8053,load_c1,1
js_worker,ultra_3840x2160_k31_p5,41.472,16.2962,16.4589,21.545,100.1139,4.0513,load_c1,1
js_worker,large_1920x1080_k15_p10,20.736,16.2073,16.4566,21.8656,100.1444,7.7918,single,1
js_worker,heavy_2560x1440_k31_p5,18.432,16.2939,16.4846,21.7088,100.1691,4.0177,single,1
js_worker,medium_1920x1080_k15_p1,2.074,16.3161,18.9352,21.5871,101.1513,7.561,single,1
js_worker,small_512x512_k5_p1,0.262,17.0955,20.1313,20.1313,117.2577,15.6127,single,1
js_worker,heavy_2560x1440_k31_p5,18.432,16.3091,16.4823,21.7837,100.0882,4.0303,load_c1,1
js_worker,ultra_3840x2160_k31_p5,41.472,16.2939,16.4495,21.6479,100.1076,4.0379,single,1
js_worker,tiny_128x128_k3_p1,0.016,10.5021,10.6449,10.6449,101.4439,20.1414,load_c1,1
js_worker,small_512x512_k5_p1,0.262,16.9165,19.8726,19.8726,108.2133,15.503,load_c1,1
js_worker,tiny_128x128_k3_p1,0.016,10.5782,10.7292,10.7292,103.7432,19.7464,single,1
js_wasm,heavy_2560x1440_k31_p5,18.432,0.0005,0.0005,0.0,99.9329,4.0402,single,1
js_wasm,large_1920x1080_k15_p10,20.736,0.0005,0.0005,0.0,99.9322,7.3884,single,1
js_wasm,ultra_3840x2160_k31_p5,41.472,0.0005,0.0005,0.0,99.9313,4.2073,single,1
js_wasm,tiny_128x128_k3_p1,0.016,0.0005,0.0005,0.0,99.9428,16.0813,single,1
js_wasm,medium_1920x1080_k15_p1,2.074,0.0005,0.0005,0.0,99.9478,7.2326,single,1
js_wasm,small_512x512_k5_p1,0.262,0.0005,0.0005,0.0,99.7964,13.4012,single,1
js_worker_wasm,small_512x512_k5_p1,0.262,19.6842,20.274,20.274,101.9479,13.1607,single,1
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,16.3559,16.5057,21.339,100.0769,4.0325,single,1
js_worker_wasm,tiny_128x128_k3_p1,0.016,10.5946,10.7034,10.9539,101.8627,15.5723,load_c1,1
js_worker_wasm,medium_1920x1080_k15_p1,2.074,16.3817,19.1201,22.2237,99.9801,7.2791,single,1
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,16.3056,16.4624,22.0529,100.0858,4.215,load_c1,1
js_worker_wasm,medium_1920x1080_k15_p1,2.074,16.3641,19.1459,22.0482,100.6677,7.2804,load_c1,1
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,16.3126,16.4577,21.6269,100.0962,4.0339,load_c1,1
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,16.3442,16.4753,21.9031,100.0872,4.2116,single,1
js_worker_wasm,tiny_128x128_k3_p1,0.016,10.7105,10.8708,10.9281,102.5219,15.3619,single,1
js_worker_wasm,small_512x512_k5_p1,0.262,19.6842,20.0329,20.0329,100.6859,13.1318,load_c1,1
js_worker_wasm,large_1920x1080_k15_p10,20.736,16.3559,16.4987,21.8375,100.1828,7.3746,single,1
js_worker_wasm,large_1920x1080_k15_p10,20.736,16.3161,16.4694,21.9663,100.0449,7.3745,load_c1,1
js_wasm_simd,medium_1920x1080_k15_p1,2.074,0.0005,0.0005,0.0,100.4174,7.9329,single,1
js_wasm_simd,large_1920x1080_k15_p10,20.736,0.0005,0.0005,0.0,99.956,8.0159,single,1
js_wasm_simd,heavy_2560x1440_k31_p5,18.432,0.0005,0.0005,0.0,99.9736,4.5566,single,1
js_wasm_simd,ultra_3840x2160_k31_p5,41.472,0.0005,0.0005,0.0,99.9565,4.7675,single,1
js_wasm_simd,small_512x512_k5_p1,0.262,0.0005,0.0005,0.0,99.4148,13.5792,single,1
js_wasm_simd,tiny_128x128_k3_p1,0.016,0.0005,0.0005,0.0,102.4281,15.9345,single,1
