variant,workload,effectivePixels_mpix,latency_mean_cv,throughput_cv,latency_run_min,latency_run_max,latency_run_range,throughput_run_min,throughput_run_max,throughput_run_range,num_runs
js_pure,tiny_128x128_k3_p1,0.016,0.0112,0.0112,0.7572,0.7793,0.0221,20.9996,21.6026,0.603,7
js_pure,ultra_3840x2160_k31_p5,41.472,0.0053,0.0053,10036.0727,10181.216,145.1433,4.0734,4.1323,0.0589,7
js_pure,heavy_2560x1440_k31_p5,18.432,0.0054,0.0054,4469.5673,4530.496,60.9287,4.0684,4.1239,0.0555,7
js_pure,large_1920x1080_k15_p10,20.736,0.0068,0.0068,2593.5574,2642.7452,49.1877,7.8464,7.9952,0.1488,7
js_pure,small_512x512_k5_p1,0.262,0.0142,0.0143,15.2251,15.8674,0.6423,16.5129,17.2096,0.6967,7
js_pure,medium_1920x1080_k15_p1,2.074,0.0115,0.0114,265.364,274.0272,8.6632,7.5669,7.8139,0.247,7
js_worker,small_512x512_k5_p1,0.262,0.0227,0.0224,16.3706,17.4584,1.0878,15.0132,16.0108,0.9975,7
js_worker,ultra_3840x2160_k31_p5,41.472,0.0045,0.0045,10198.6046,10331.9521,133.3475,4.014,4.0664,0.0525,7
js_worker,heavy_2560x1440_k31_p5,18.432,0.0048,0.0048,4558.6061,4622.4583,63.8521,3.9875,4.0433,0.0559,7
js_worker,medium_1920x1080_k15_p1,2.074,0.0157,0.0156,269.6794,281.3407,11.6613,7.3703,7.689,0.3187,7
js_worker,large_1920x1080_k15_p10,20.736,0.0061,0.0061,2643.8749,2694.0557,50.1807,7.6969,7.843,0.1461,7
js_worker,tiny_128x128_k3_p1,0.016,0.0137,0.0136,0.819,0.8469,0.0279,19.3251,19.9872,0.6621,7
js_wasm,heavy_2560x1440_k31_p5,18.432,0.0041,0.0041,4534.4934,4589.3652,54.8718,4.0162,4.0648,0.0486,7
js_wasm,medium_1920x1080_k15_p1,2.074,0.0169,0.0167,282.3992,294.0167,11.6175,7.0525,7.3427,0.2901,7
js_wasm,large_1920x1080_k15_p10,20.736,0.0033,0.0033,2793.873,2817.3182,23.4451,7.3602,7.4219,0.0618,7
js_wasm,tiny_128x128_k3_p1,0.016,0.0063,0.0064,1.0117,1.0301,0.0183,15.888,16.1782,0.2901,7
js_wasm,small_512x512_k5_p1,0.262,0.0031,0.0031,19.4958,19.6816,0.1858,13.3177,13.4451,0.1274,7
js_wasm,ultra_3840x2160_k31_p5,41.472,0.0047,0.0047,9816.8606,9937.6932,120.8326,4.1732,4.2246,0.0514,7
js_worker_wasm,tiny_128x128_k3_p1,0.016,0.0049,0.0049,1.0593,1.0733,0.0139,15.252,15.4539,0.2019,7
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,0.0028,0.0028,4550.1256,4586.9496,36.824,4.0184,4.0509,0.0325,7
js_worker_wasm,small_512x512_k5_p1,0.262,0.004,0.004,19.8161,20.0747,0.2586,13.0569,13.2275,0.1706,7
js_worker_wasm,medium_1920x1080_k15_p1,2.074,0.0023,0.0023,283.7697,285.7711,2.0014,7.256,7.3072,0.0512,7
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,0.0042,0.0043,9787.3949,9895.346,107.9511,4.1911,4.2373,0.0462,7
js_worker_wasm,large_1920x1080_k15_p10,20.736,0.0032,0.0033,2797.6925,2820.5586,22.8662,7.3517,7.4118,0.0601,7
js_wasm_simd,heavy_2560x1440_k31_p5,18.432,0.0056,0.0056,4019.3464,4080.1447,60.7984,4.5175,4.5858,0.0683,7
js_wasm_simd,small_512x512_k5_p1,0.262,0.0091,0.009,19.1149,19.6366,0.5217,13.3489,13.7132,0.3643,7
js_wasm_simd,large_1920x1080_k15_p10,20.736,0.0104,0.0104,2561.7946,2629.5436,67.749,7.8858,8.0943,0.2085,7
js_wasm_simd,medium_1920x1080_k15_p1,2.074,0.0085,0.0084,259.4812,265.994,6.5127,7.7955,7.9912,0.1957,7
js_wasm_simd,tiny_128x128_k3_p1,0.016,0.0111,0.011,1.0178,1.0494,0.0317,15.6041,16.0898,0.4856,7
js_wasm_simd,ultra_3840x2160_k31_p5,41.472,0.0042,0.0042,8645.7836,8739.5571,93.7735,4.7453,4.7968,0.0515,7
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,0.0058,0.0059,1.0594,1.0754,0.016,15.2224,15.4535,0.2312,7
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,0.0035,0.0035,2566.0446,2591.6833,25.6388,8.001,8.0809,0.0799,7
js_worker_wasm_simd,small_512x512_k5_p1,0.262,0.0059,0.0058,19.488,19.8413,0.3533,13.2107,13.45,0.2393,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,0.0038,0.0038,260.0805,262.9751,2.8946,7.885,7.9728,0.0878,7
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,0.0039,0.0039,4022.9342,4062.3267,39.3925,4.5373,4.5817,0.0444,7
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,0.0038,0.0038,8657.025,8745.005,87.9799,4.7424,4.7906,0.0482,7
