variant,workload,effectivePixels_mpix,mem_peak_rss_mb,mem_peak_rss_std,mem_peak_heap_mb,mem_peak_heap_std,rss_mb_per_mpix,throughput_mpix_sec
js_pure,tiny_128x128_k3_p1,0.016,116.794,23.148,5.425,0.347,7128.511,21.305
js_pure,ultra_3840x2160_k31_p5,41.472,1440.375,39.666,3.747,0.369,34.731,4.109
js_pure,heavy_2560x1440_k31_p5,18.432,1403.103,35.771,3.79,0.347,76.123,4.1
js_pure,large_1920x1080_k15_p10,20.736,1389.658,25.917,3.928,0.425,67.017,7.92
js_pure,small_512x512_k5_p1,0.262,1529.957,21.243,4.192,0.377,5836.323,16.883
js_pure,medium_1920x1080_k15_p1,2.074,1505.843,39.828,4.222,0.376,726.198,7.717
js_worker,small_512x512_k5_p1,0.262,1754.599,4.989,4.187,0.088,6693.263,15.613
js_worker,ultra_3840x2160_k31_p5,41.472,1365.118,94.167,4.794,0.016,32.917,4.038
js_worker,heavy_2560x1440_k31_p5,18.432,1674.906,93.43,4.726,0.02,90.869,4.018
js_worker,medium_1920x1080_k15_p1,2.074,1759.805,4.991,4.307,0.065,848.671,7.561
js_worker,large_1920x1080_k15_p10,20.736,1728.028,57.709,4.623,0.127,83.335,7.792
js_worker,tiny_128x128_k3_p1,0.016,203.673,17.181,5.915,0.274,12431.213,19.746
js_wasm,heavy_2560x1440_k31_p5,18.432,1499.281,5.35,3.701,0.043,81.341,4.04
js_wasm,medium_1920x1080_k15_p1,2.074,1541.597,5.41,3.702,0.0,743.44,7.233
js_wasm,large_1920x1080_k15_p10,20.736,1498.953,5.39,3.666,0.0,72.287,7.388
js_wasm,tiny_128x128_k3_p1,0.016,127.862,19.731,5.286,0.35,7804.087,16.081
js_wasm,small_512x512_k5_p1,0.262,1541.266,5.398,3.686,0.0,5879.462,13.401
js_wasm,ultra_3840x2160_k31_p5,41.472,1491.719,5.349,3.651,0.0,35.969,4.207
js_worker_wasm,tiny_128x128_k3_p1,0.016,253.834,18.747,5.786,0.104,15492.814,15.362
js_worker_wasm,heavy_2560x1440_k31_p5,18.432,1662.578,126.689,4.72,0.062,90.201,4.032
js_worker_wasm,small_512x512_k5_p1,0.262,1913.93,32.241,4.32,0.029,7301.062,13.161
js_worker_wasm,medium_1920x1080_k15_p1,2.074,1938.821,59.23,4.379,0.142,935.002,7.279
js_worker_wasm,ultra_3840x2160_k31_p5,41.472,1529.691,84.126,4.831,0.011,36.885,4.212
js_worker_wasm,large_1920x1080_k15_p10,20.736,1940.297,58.896,4.72,0.108,93.571,7.375
js_wasm_simd,heavy_2560x1440_k31_p5,18.432,1626.253,5.262,3.703,0.0,88.23,4.557
js_wasm_simd,small_512x512_k5_p1,0.262,1668.229,5.287,3.737,0.0,6363.79,13.579
js_wasm_simd,large_1920x1080_k15_p10,20.736,1625.903,5.265,3.719,0.0,78.41,8.016
js_wasm_simd,medium_1920x1080_k15_p1,2.074,1668.557,5.276,3.754,0.0,804.667,7.933
js_wasm_simd,tiny_128x128_k3_p1,0.016,116.401,17.294,5.314,0.466,7104.567,15.935
js_wasm_simd,ultra_3840x2160_k31_p5,41.472,1618.68,5.282,3.69,0.0,39.031,4.768
js_worker_wasm_simd,tiny_128x128_k3_p1,0.016,306.588,9.586,5.889,0.424,18712.657,15.357
js_worker_wasm_simd,large_1920x1080_k15_p10,20.736,2156.85,46.938,4.837,0.01,104.015,8.032
js_worker_wasm_simd,small_512x512_k5_p1,0.262,2109.85,46.847,4.387,0.008,8048.439,13.36
js_worker_wasm_simd,medium_1920x1080_k15_p1,2.074,2155.392,46.702,4.51,0.008,1039.444,7.921
js_worker_wasm_simd,heavy_2560x1440_k31_p5,18.432,1768.41,52.484,4.651,0.01,95.942,4.559
js_worker_wasm_simd,ultra_3840x2160_k31_p5,41.472,1765.832,50.674,4.884,0.01,42.579,4.761
