variant,workload,concurrency,poolSize,effectivePixels_mpix,throughput_mpix_sec,throughput_std,speedup_vs_js_worker,latency_mean_ms,latency_p95_ms,compute_mean_ms,cpu_percent,el_lag_p95_ms,el_lag_max_ms,el_lag_severity,mem_peak_rss_mb,worker_overhead_ms,num_runs
js_pure,tiny_128x128_k3_p1,1,1,0.016,20.953,0.391,,0.782,0.844,0.78,103.835,0.001,0.0,healthy,537.939,0.001,7
js_worker,tiny_128x128_k3_p1,1,1,0.016,20.141,0.18,1.0,0.813,0.883,0.78,101.444,10.502,10.645,healthy,390.685,0.033,7
js_worker_wasm,tiny_128x128_k3_p1,1,1,0.016,15.572,0.118,0.773,1.051,1.092,1.015,101.863,10.595,10.954,healthy,407.987,0.036,7
js_worker_wasm_simd,tiny_128x128_k3_p1,1,1,0.016,15.306,0.148,0.76,1.07,1.114,1.031,112.484,10.675,11.004,healthy,432.534,0.039,7
js_worker,tiny_128x128_k3_p1,4,4,0.016,75.042,0.704,1.0,0.87,0.982,0.833,410.641,10.84,10.84,healthy,446.304,0.037,7
js_worker_wasm,tiny_128x128_k3_p1,4,4,0.016,59.74,0.586,0.796,1.092,1.152,1.054,388.879,10.32,10.598,healthy,482.258,0.039,7
js_worker_wasm_simd,tiny_128x128_k3_p1,4,4,0.016,59.359,0.516,0.791,1.1,1.148,1.063,394.757,10.405,10.661,healthy,471.552,0.037,7
js_worker,tiny_128x128_k3_p1,8,8,0.016,125.183,5.414,1.0,1.04,1.585,0.99,852.872,10.509,10.509,healthy,678.241,0.051,7
js_worker_wasm,tiny_128x128_k3_p1,8,8,0.016,109.108,2.704,0.872,1.191,1.736,1.148,829.833,10.277,10.277,healthy,784.272,0.043,7
js_worker_wasm_simd,tiny_128x128_k3_p1,8,8,0.016,106.333,1.034,0.849,1.223,1.823,1.179,819.761,10.193,10.193,healthy,884.56,0.044,7
js_worker,tiny_128x128_k3_p1,16,16,0.016,121.654,5.015,1.0,2.131,3.717,1.874,1653.344,10.41,10.41,healthy,1248.039,0.257,7
js_worker_wasm,tiny_128x128_k3_p1,16,16,0.016,133.067,1.398,1.094,1.944,2.128,1.857,1570.26,10.283,10.283,healthy,1457.984,0.087,7
js_worker_wasm_simd,tiny_128x128_k3_p1,16,16,0.016,135.6,0.863,1.115,1.903,2.051,1.818,1584.742,10.219,10.219,healthy,1651.723,0.085,7
js_pure,small_512x512_k5_p1,1,1,0.262,16.683,0.129,,15.712,16.005,15.708,100.168,0.001,0.0,healthy,4093.667,0.004,7
js_worker,small_512x512_k5_p1,1,1,0.262,15.503,0.307,1.0,16.913,21.717,16.573,108.213,16.916,19.873,healthy,2237.215,0.34,7
js_worker_wasm,small_512x512_k5_p1,1,1,0.262,13.132,0.092,0.847,19.961,20.406,19.713,100.686,19.684,20.033,healthy,2356.54,0.248,7
js_worker_wasm_simd,small_512x512_k5_p1,1,1,0.262,13.364,0.049,0.862,19.614,20.23,19.384,101.266,19.436,19.874,healthy,2533.165,0.23,7
js_worker,small_512x512_k5_p1,4,4,0.262,51.135,1.136,1.0,19.307,24.945,19.113,463.585,19.203,19.203,healthy,2645.301,0.193,7
js_worker_wasm,small_512x512_k5_p1,4,4,0.262,48.092,1.055,0.94,21.237,23.703,21.03,390.661,19.546,19.546,healthy,2720.362,0.207,7
js_worker_wasm_simd,small_512x512_k5_p1,4,4,0.262,49.795,0.572,0.974,20.769,21.704,20.532,396.665,19.783,19.783,degraded,3273.374,0.237,7
js_worker,small_512x512_k5_p1,8,8,0.262,60.601,2.528,1.0,31.716,42.059,31.054,943.752,15.842,15.842,healthy,3980.978,0.662,7
js_worker_wasm,small_512x512_k5_p1,8,8,0.262,77.426,1.167,1.278,23.657,30.337,23.163,783.595,16.368,16.368,healthy,4599.434,0.494,7
js_worker_wasm_simd,small_512x512_k5_p1,8,8,0.262,77.717,2.244,1.282,23.578,30.406,23.068,667.471,15.758,15.758,healthy,5956.259,0.509,7
js_worker,small_512x512_k5_p1,16,16,0.262,50.468,2.943,1.0,68.234,92.122,65.941,1418.713,24.068,24.068,degraded,7295.302,2.292,7
js_worker_wasm,small_512x512_k5_p1,16,16,0.262,80.683,0.839,1.599,38.348,43.537,37.455,1091.701,13.902,13.902,healthy,8903.647,0.893,7
js_worker_wasm_simd,small_512x512_k5_p1,16,16,0.262,84.015,0.918,1.665,36.935,41.938,36.052,1173.906,16.416,16.416,healthy,11706.719,0.883,7
js_pure,medium_1920x1080_k15_p1,1,1,2.074,7.653,0.065,,270.965,281.242,270.944,101.441,0.001,0.0,healthy,4074.767,0.021,7
js_worker,medium_1920x1080_k15_p1,1,1,2.074,7.583,0.079,1.0,273.486,296.105,273.116,101.612,16.283,21.447,healthy,2245.145,0.37,7
js_worker_wasm,medium_1920x1080_k15_p1,1,1,2.074,7.28,0.026,0.96,284.817,286.893,284.512,100.668,16.364,22.048,healthy,2399.815,0.305,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,1,1,2.074,7.914,0.041,1.044,262.008,265.122,261.721,100.827,16.364,21.868,healthy,2577.458,0.287,7
js_worker,medium_1920x1080_k15_p1,4,4,2.074,27.637,0.567,1.0,289.306,309.729,288.986,390.182,16.171,21.222,healthy,2784.261,0.321,7
js_worker_wasm,medium_1920x1080_k15_p1,4,4,2.074,27.266,0.205,0.987,302.77,307.683,302.422,401.515,15.822,21.461,healthy,2878.777,0.348,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,4,4,2.074,29.516,0.259,1.068,279.164,285.62,278.849,398.39,15.94,21.213,healthy,3439.376,0.315,7
js_worker,medium_1920x1080_k15_p1,8,8,2.074,43.852,3.916,1.0,322.558,384.287,322.32,684.719,18.357,22.058,healthy,4325.033,0.238,7
js_worker_wasm,medium_1920x1080_k15_p1,8,8,2.074,43.843,0.407,1.0,317.357,335.728,317.071,669.681,15.96,21.718,healthy,4914.834,0.286,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,8,8,2.074,47.633,0.333,1.086,292.106,310.081,291.808,677.607,16.032,21.943,healthy,6276.728,0.299,7
js_worker,medium_1920x1080_k15_p1,16,16,2.074,45.761,1.295,1.0,532.089,602.76,531.429,1170.615,30.386,33.48,degraded,7563.334,0.66,7
js_worker_wasm,medium_1920x1080_k15_p1,16,16,2.074,45.337,0.09,0.991,541.436,602.731,540.239,1183.706,27.891,31.134,degraded,9263.605,1.197,7
js_worker_wasm_simd,medium_1920x1080_k15_p1,16,16,2.074,49.24,0.162,1.076,497.132,553.597,495.704,1183.319,24.06,28.381,degraded,12051.165,1.428,7
js_pure,large_1920x1080_k15_p10,1,1,20.736,7.81,0.035,,2655.103,2667.392,2655.08,100.053,0.001,0.0,healthy,3932.842,0.023,7
js_worker,large_1920x1080_k15_p10,1,1,20.736,7.805,0.04,1.0,2656.695,2666.444,2656.221,100.046,16.276,22.018,healthy,2243.917,0.473,7
js_worker_wasm,large_1920x1080_k15_p10,1,1,20.736,7.374,0.027,0.945,2811.887,2821.562,2811.661,100.045,16.316,21.966,healthy,2401.387,0.226,7
js_worker_wasm_simd,large_1920x1080_k15_p10,1,1,20.736,8.037,0.034,1.03,2579.942,2586.18,2579.727,100.05,16.341,21.412,healthy,2578.96,0.214,7
