variant,workload,workload_short,poolSize,concurrency,throughput_rps,is_worker
js_pure,small_512x512_k5_p1,Small,-1.0,1.0,50.542,False
js_pure,small_512x512_k5_p1,Small,-1.0,4.0,56.771,False
js_pure,small_512x512_k5_p1,Small,-1.0,8.0,57.445,False
js_pure,small_512x512_k5_p1,Small,-1.0,16.0,57.666,False
js_worker,small_512x512_k5_p1,Small,1.0,1.0,53.025,True
js_worker,small_512x512_k5_p1,Small,1.0,2.0,58.991,True
js_worker,small_512x512_k5_p1,Small,1.0,4.0,58.564,True
js_worker,small_512x512_k5_p1,Small,1.0,8.0,58.426,True
js_worker,small_512x512_k5_p1,Small,1.0,16.0,58.361,True
js_worker,small_512x512_k5_p1,Small,4.0,1.0,52.499,True
js_worker,small_512x512_k5_p1,Small,4.0,4.0,150.359,True
js_worker,small_512x512_k5_p1,Small,4.0,8.0,140.286,True
js_worker,small_512x512_k5_p1,Small,4.0,16.0,139.92,True
js_worker,small_512x512_k5_p1,Small,8.0,1.0,53.35,True
js_worker,small_512x512_k5_p1,Small,8.0,4.0,152.942,True
js_worker,small_512x512_k5_p1,Small,8.0,8.0,258.582,True
js_worker,small_512x512_k5_p1,Small,8.0,16.0,272.733,True
js_worker,small_512x512_k5_p1,Small,16.0,1.0,53.49,True
js_worker,small_512x512_k5_p1,Small,16.0,4.0,153.709,True
js_worker,small_512x512_k5_p1,Small,16.0,8.0,260.944,True
js_worker,small_512x512_k5_p1,Small,16.0,16.0,416.294,True
js_worker,small_512x512_k5_p1,Small,16.0,32.0,407.594,True
js_wasm,small_512x512_k5_p1,Small,-1.0,1.0,41.546,False
js_wasm,small_512x512_k5_p1,Small,-1.0,4.0,44.54,False
js_wasm,small_512x512_k5_p1,Small,-1.0,8.0,44.545,False
js_wasm,small_512x512_k5_p1,Small,-1.0,16.0,44.628,False
js_worker_wasm,small_512x512_k5_p1,Small,1.0,1.0,43.754,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,2.0,47.308,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,4.0,46.44,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,8.0,46.35,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,16.0,46.366,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,1.0,43.936,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,4.0,128.725,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,8.0,115.044,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,16.0,115.452,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,1.0,44.107,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,4.0,128.508,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,8.0,220.406,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,16.0,225.453,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,1.0,43.733,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,4.0,127.52,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,8.0,220.94,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,16.0,365.556,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,32.0,368.289,True
