variant,workload,workload_short,poolSize,concurrency,server_side_compute_mean,server_side_queuewait_mean,network_overhead_ms,server_latency_mean,client_latency_mean,is_worker,rest_ms
js_pure,small_512x512_k5_p1,Small,-1.0,1.0,15.851,0.0,2.698,17.04,19.738,False,1.189
js_pure,small_512x512_k5_p1,Small,-1.0,4.0,15.609,0.0,53.493,16.728,70.22,False,1.118
js_pure,small_512x512_k5_p1,Small,-1.0,8.0,15.552,0.0,121.833,16.537,138.37,False,0.985
js_pure,small_512x512_k5_p1,Small,-1.0,16.0,15.567,0.0,257.432,16.502,273.934,False,0.935
js_worker,small_512x512_k5_p1,Small,1.0,1.0,15.994,0.0,1.932,16.872,18.804,True,0.878
js_worker,small_512x512_k5_p1,Small,1.0,2.0,16.043,14.327,2.356,31.453,33.809,True,1.083
js_worker,small_512x512_k5_p1,Small,1.0,4.0,16.196,48.84,1.979,66.081,68.06,True,1.045
js_worker,small_512x512_k5_p1,Small,1.0,8.0,16.247,116.449,2.026,134.057,136.083,True,1.361
js_worker,small_512x512_k5_p1,Small,1.0,16.0,16.258,249.412,2.232,268.514,270.746,True,2.844
js_worker,small_512x512_k5_p1,Small,4.0,1.0,16.058,0.0,1.98,17.012,18.992,True,0.953
js_worker,small_512x512_k5_p1,Small,4.0,4.0,22.745,0.0,2.382,24.154,26.536,True,1.409
js_worker,small_512x512_k5_p1,Small,4.0,8.0,27.376,25.72,2.351,54.504,56.854,True,1.408
js_worker,small_512x512_k5_p1,Small,4.0,16.0,27.573,82.735,2.342,111.377,113.719,True,1.069
js_worker,small_512x512_k5_p1,Small,8.0,1.0,16.037,0.0,1.827,16.863,18.69,True,0.826
js_worker,small_512x512_k5_p1,Small,8.0,4.0,22.654,0.0,2.145,23.944,26.088,True,1.29
js_worker,small_512x512_k5_p1,Small,8.0,8.0,26.241,0.0,2.828,28.038,30.866,True,1.797
js_worker,small_512x512_k5_p1,Small,8.0,16.0,27.92,26.204,2.714,55.774,58.488,True,1.649
js_worker,small_512x512_k5_p1,Small,16.0,1.0,16.089,0.0,1.762,16.885,18.647,True,0.796
js_worker,small_512x512_k5_p1,Small,16.0,4.0,22.601,0.0,2.005,23.956,25.961,True,1.355
js_worker,small_512x512_k5_p1,Small,16.0,8.0,26.187,0.0,2.625,27.967,30.592,True,1.78
js_worker,small_512x512_k5_p1,Small,16.0,16.0,30.4,0.0,4.782,33.558,38.34,True,3.159
js_worker,small_512x512_k5_p1,Small,16.0,32.0,30.902,17.577,29.092,49.146,78.238,True,0.667
js_wasm,small_512x512_k5_p1,Small,-1.0,1.0,21.07,0.0,2.248,22.029,24.278,False,0.959
js_wasm,small_512x512_k5_p1,Small,-1.0,4.0,20.596,0.0,68.067,21.635,89.702,False,1.039
js_wasm,small_512x512_k5_p1,Small,-1.0,8.0,20.646,0.0,157.248,21.665,178.912,False,1.019
js_wasm,small_512x512_k5_p1,Small,-1.0,16.0,20.732,0.0,332.257,21.597,353.854,False,0.864
js_worker_wasm,small_512x512_k5_p1,Small,1.0,1.0,20.226,0.0,1.698,21.11,22.808,True,0.884
js_worker_wasm,small_512x512_k5_p1,Small,1.0,2.0,20.187,18.751,2.218,39.955,42.172,True,1.017
js_worker_wasm,small_512x512_k5_p1,Small,1.0,4.0,20.626,62.421,1.735,84.079,85.814,True,1.032
js_worker_wasm,small_512x512_k5_p1,Small,1.0,8.0,20.662,147.364,1.754,169.544,171.298,True,1.518
js_worker_wasm,small_512x512_k5_p1,Small,1.0,16.0,20.686,314.016,1.954,337.85,339.804,True,3.148
js_worker_wasm,small_512x512_k5_p1,Small,4.0,1.0,20.207,0.0,1.603,21.112,22.715,True,0.905
js_worker_wasm,small_512x512_k5_p1,Small,4.0,4.0,27.758,0.0,1.95,29.062,31.012,True,1.304
js_worker_wasm,small_512x512_k5_p1,Small,4.0,8.0,33.732,32.706,1.976,67.349,69.325,True,0.911
js_worker_wasm,small_512x512_k5_p1,Small,4.0,16.0,33.558,100.918,2.09,135.608,137.698,True,1.131
js_worker_wasm,small_512x512_k5_p1,Small,8.0,1.0,20.227,0.0,1.569,21.059,22.629,True,0.833
