variant,workload,workload_short,poolSize,concurrency,throughput_rps,speedup,is_worker
js_pure,small_512x512_k5_p1,Small,-1.0,1.0,50.542,1.0,False
js_pure,small_512x512_k5_p1,Small,-1.0,4.0,56.771,,False
js_pure,small_512x512_k5_p1,Small,-1.0,8.0,57.445,,False
js_pure,small_512x512_k5_p1,Small,-1.0,16.0,57.666,,False
js_worker,small_512x512_k5_p1,Small,1.0,1.0,53.025,1.049,True
js_worker,small_512x512_k5_p1,Small,1.0,2.0,58.991,1.0,True
js_worker,small_512x512_k5_p1,Small,1.0,4.0,58.564,,True
js_worker,small_512x512_k5_p1,Small,1.0,8.0,58.426,0.416,True
js_worker,small_512x512_k5_p1,Small,1.0,16.0,58.361,0.214,True
js_worker,small_512x512_k5_p1,Small,4.0,1.0,52.499,1.039,True
js_worker,small_512x512_k5_p1,Small,4.0,4.0,150.359,,True
js_worker,small_512x512_k5_p1,Small,4.0,8.0,140.286,1.0,True
js_worker,small_512x512_k5_p1,Small,4.0,16.0,139.92,0.513,True
js_worker,small_512x512_k5_p1,Small,8.0,1.0,53.35,1.056,True
js_worker,small_512x512_k5_p1,Small,8.0,4.0,152.942,,True
js_worker,small_512x512_k5_p1,Small,8.0,8.0,258.582,1.843,True
js_worker,small_512x512_k5_p1,Small,8.0,16.0,272.733,1.0,True
js_worker,small_512x512_k5_p1,Small,16.0,1.0,53.49,1.058,True
js_worker,small_512x512_k5_p1,Small,16.0,4.0,153.709,,True
js_worker,small_512x512_k5_p1,Small,16.0,8.0,260.944,1.86,True
js_worker,small_512x512_k5_p1,Small,16.0,16.0,416.294,1.526,True
js_worker,small_512x512_k5_p1,Small,16.0,32.0,407.594,1.0,True
js_wasm,small_512x512_k5_p1,Small,-1.0,1.0,41.546,0.822,False
js_wasm,small_512x512_k5_p1,Small,-1.0,4.0,44.54,,False
js_wasm,small_512x512_k5_p1,Small,-1.0,8.0,44.545,0.318,False
js_wasm,small_512x512_k5_p1,Small,-1.0,16.0,44.628,0.164,False
js_worker_wasm,small_512x512_k5_p1,Small,1.0,1.0,43.754,0.866,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,2.0,47.308,0.802,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,4.0,46.44,,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,8.0,46.35,0.33,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,16.0,46.366,0.17,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,1.0,43.936,0.869,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,4.0,128.725,,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,8.0,115.044,0.82,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,16.0,115.452,0.423,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,1.0,44.107,0.873,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,4.0,128.508,,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,8.0,220.406,1.571,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,16.0,225.453,0.827,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,1.0,43.733,0.865,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,4.0,127.52,,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,8.0,220.94,1.575,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,16.0,365.556,1.34,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,32.0,368.289,0.904,True
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,1.0,43.429,0.859,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,4.0,46.449,,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,8.0,45.13,0.322,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,16.0,46.296,0.17,False
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,1.0,44.563,0.882,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,2.0,48.156,0.816,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,4.0,47.611,,True
