variant,workload,workload_short,poolSize,concurrency,client_err,client_ok,client_error_rate_percent,server_requests_error_rate_percent,is_worker
js_pure,small_512x512_k5_p1,Small,-1.0,1.0,0.0,506.0,0.0,0.0,False
js_pure,small_512x512_k5_p1,Small,-1.0,4.0,0.0,571.4285714285714,0.0,0.0,False
js_pure,small_512x512_k5_p1,Small,-1.0,8.0,0.0,582.0,0.0,0.0,False
js_pure,small_512x512_k5_p1,Small,-1.0,16.0,0.0,592.1428571428571,0.0,0.0,False
js_worker,small_512x512_k5_p1,Small,1.0,1.0,0.0,530.7142857142857,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,1.0,2.0,0.0,591.4285714285714,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,1.0,4.0,0.0,589.1428571428571,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,1.0,8.0,0.0,591.5714285714286,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,1.0,16.0,0.0,598.7142857142857,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,4.0,1.0,0.0,525.4285714285714,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,4.0,4.0,0.0,1506.571428571429,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,4.0,8.0,0.0,1410.2857142857142,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,4.0,16.0,0.0,1414.2857142857142,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,8.0,1.0,0.0,534.0,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,8.0,4.0,0.0,1532.2857142857142,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,8.0,8.0,0.0,2592.428571428572,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,8.0,16.0,0.0,2742.714285714286,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,16.0,1.0,0.0,535.4285714285714,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,16.0,4.0,0.0,1540.7142857142858,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,16.0,8.0,0.0,2616.5714285714284,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,16.0,16.0,0.0,4176.0,0.0,0.0,True
js_worker,small_512x512_k5_p1,Small,16.0,32.0,0.0,4101.0,0.0,0.0,True
js_wasm,small_512x512_k5_p1,Small,-1.0,1.0,0.0,416.0,0.0,0.0,False
js_wasm,small_512x512_k5_p1,Small,-1.0,4.0,0.0,449.0,0.0,0.0,False
js_wasm,small_512x512_k5_p1,Small,-1.0,8.0,0.0,453.0,0.0,0.0,False
