variant,workload,workload_short,poolSize,concurrency,server_eventloop_lag_p95_after,server_eventloop_lag_max_after,server_eventloop_lag_p95_delta,is_worker
js_pure,small_512x512_k5_p1,Small,-1.0,1.0,22.83,36.92,22.83,False
js_pure,small_512x512_k5_p1,Small,-1.0,4.0,646.15,659.55,646.15,False
js_pure,small_512x512_k5_p1,Small,-1.0,8.0,1258.14,1262.34,1258.14,False
js_pure,small_512x512_k5_p1,Small,-1.0,16.0,2516.58,2516.58,2516.58,False
js_worker,small_512x512_k5_p1,Small,1.0,1.0,18.99,21.83,18.99,True
js_worker,small_512x512_k5_p1,Small,1.0,2.0,17.26,22.31,17.26,True
js_worker,small_512x512_k5_p1,Small,1.0,4.0,17.27,19.75,17.27,True
js_worker,small_512x512_k5_p1,Small,1.0,8.0,17.3,20.0,17.3,True
js_worker,small_512x512_k5_p1,Small,1.0,16.0,17.36,20.13,17.36,True
js_worker,small_512x512_k5_p1,Small,4.0,1.0,19.05,22.12,19.04,True
js_worker,small_512x512_k5_p1,Small,4.0,4.0,19.89,23.81,19.89,True
js_worker,small_512x512_k5_p1,Small,4.0,8.0,20.1,23.16,20.1,True
js_worker,small_512x512_k5_p1,Small,4.0,16.0,20.0,23.14,20.0,True
js_worker,small_512x512_k5_p1,Small,8.0,1.0,18.88,21.96,18.88,True
js_worker,small_512x512_k5_p1,Small,8.0,4.0,19.65,23.51,19.65,True
js_worker,small_512x512_k5_p1,Small,8.0,8.0,15.38,23.42,15.38,True
js_worker,small_512x512_k5_p1,Small,8.0,16.0,14.29,21.66,14.29,True
js_worker,small_512x512_k5_p1,Small,16.0,1.0,18.88,22.19,18.88,True
js_worker,small_512x512_k5_p1,Small,16.0,4.0,19.36,24.6,19.36,True
js_worker,small_512x512_k5_p1,Small,16.0,8.0,15.85,23.6,15.85,True
js_worker,small_512x512_k5_p1,Small,16.0,16.0,13.51,21.01,13.51,True
js_worker,small_512x512_k5_p1,Small,16.0,32.0,18.27,74.84,18.27,True
js_wasm,small_512x512_k5_p1,Small,-1.0,1.0,26.11,47.35,26.11,False
js_wasm,small_512x512_k5_p1,Small,-1.0,4.0,826.2,857.74,826.2,False
js_wasm,small_512x512_k5_p1,Small,-1.0,8.0,1639.67,1645.22,1639.67,False
js_wasm,small_512x512_k5_p1,Small,-1.0,16.0,3338.37,3338.37,3338.37,False
js_worker_wasm,small_512x512_k5_p1,Small,1.0,1.0,21.31,22.76,21.31,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,2.0,20.99,22.39,20.99,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,4.0,21.26,22.59,21.26,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,8.0,21.24,22.44,21.24,True
js_worker_wasm,small_512x512_k5_p1,Small,1.0,16.0,21.22,22.81,21.22,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,1.0,21.19,22.79,21.19,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,4.0,21.12,25.1,21.12,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,8.0,21.14,25.42,21.14,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,16.0,20.94,25.61,20.94,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,1.0,21.17,22.98,21.17,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,4.0,21.01,24.9,21.01,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,8.0,16.25,24.82,16.25,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,16.0,15.83,23.6,15.83,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,1.0,21.23,22.92,21.23,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,4.0,21.29,24.94,21.29,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,8.0,16.5,24.38,16.5,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,16.0,12.98,21.1,12.98,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,32.0,12.84,34.95,12.84,True
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,1.0,23.84,45.12,23.84,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,4.0,781.64,798.57,781.64,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,8.0,1628.59,1631.73,1628.59,False
js_wasm_simd,small_512x512_k5_p1,Small,-1.0,16.0,3121.46,3121.46,3121.46,False
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,1.0,21.07,22.52,21.06,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,2.0,20.66,22.16,20.66,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,4.0,20.74,22.11,20.74,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,8.0,20.85,22.25,20.85,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,16.0,20.86,22.43,20.86,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,1.0,21.33,22.98,21.33,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,4.0,21.08,24.42,21.08,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,8.0,21.16,25.11,21.16,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,16.0,21.05,24.73,21.05,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,1.0,21.23,22.85,21.23,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,4.0,21.15,24.71,21.15,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,8.0,15.97,24.52,15.97,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,16.0,15.24,24.02,15.24,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,1.0,21.24,22.81,21.24,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,4.0,21.11,24.91,21.11,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,8.0,16.22,24.42,16.22,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,16.0,12.83,19.93,12.83,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,32.0,12.88,34.8,12.88,True
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,1.0,319.44,349.1,303.29,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,4.0,1436.85,1471.6,1420.72,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,8.0,3964.22,4501.39,3948.07,False
js_pure,medium_1920x1080_k15_p1,Medium,-1.0,16.0,5706.05,8494.06,5690.0,False
