variant,workload,workload_short,concurrency,poolSize,throughput_rps,client_latency_mean,client_latency_p95,server_cpu_percent_after,is_worker
js_pure,small_512x512_k5_p1,Small,1.0,-1.0,50.542,19.738,24.587,96.73,False
js_pure,small_512x512_k5_p1,Small,4.0,-1.0,56.771,70.22,73.917,105.77,False
js_pure,small_512x512_k5_p1,Small,8.0,-1.0,57.445,138.37,142.804,105.65,False
js_pure,small_512x512_k5_p1,Small,16.0,-1.0,57.666,273.934,285.09,105.37,False
js_worker,small_512x512_k5_p1,Small,1.0,1.0,53.025,18.804,19.798,97.62,True
js_worker,small_512x512_k5_p1,Small,4.0,4.0,150.359,26.536,33.849,391.86,True
js_worker,small_512x512_k5_p1,Small,8.0,8.0,258.582,30.866,37.427,766.33,True
js_worker,small_512x512_k5_p1,Small,16.0,16.0,416.294,38.34,45.882,1365.4,True
js_wasm,small_512x512_k5_p1,Small,1.0,-1.0,41.546,24.278,26.384,96.36,False
js_wasm,small_512x512_k5_p1,Small,4.0,-1.0,44.54,89.702,97.533,102.49,False
js_wasm,small_512x512_k5_p1,Small,8.0,-1.0,44.545,178.912,187.031,102.66,False
js_wasm,small_512x512_k5_p1,Small,16.0,-1.0,44.628,353.854,380.686,102.44,False
js_worker_wasm,small_512x512_k5_p1,Small,1.0,1.0,43.754,22.808,24.031,102.74,True
js_worker_wasm,small_512x512_k5_p1,Small,4.0,4.0,128.725,31.012,38.543,392.94,True
js_worker_wasm,small_512x512_k5_p1,Small,8.0,8.0,220.406,36.218,42.263,774.5,True
js_worker_wasm,small_512x512_k5_p1,Small,16.0,16.0,365.556,43.635,50.129,1431.19,True
js_wasm_simd,small_512x512_k5_p1,Small,1.0,-1.0,43.429,22.972,26.988,95.94,False
js_wasm_simd,small_512x512_k5_p1,Small,4.0,-1.0,46.449,85.772,89.216,102.32,False
js_wasm_simd,small_512x512_k5_p1,Small,8.0,-1.0,45.13,177.407,186.182,102.31,False
js_wasm_simd,small_512x512_k5_p1,Small,16.0,-1.0,46.296,340.358,361.961,102.28,False
js_worker_wasm_simd,small_512x512_k5_p1,Small,1.0,1.0,44.563,22.398,23.412,104.47,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,4.0,4.0,130.584,30.564,37.379,392.39,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,8.0,8.0,226.269,35.285,40.978,775.63,True
js_worker_wasm_simd,small_512x512_k5_p1,Small,16.0,16.0,375.817,42.457,48.828,1425.66,True
js_pure,medium_1920x1080_k15_p1,Medium,1.0,-1.0,3.355,298.099,323.307,103.67,False
js_pure,medium_1920x1080_k15_p1,Medium,4.0,-1.0,3.483,1104.5,2006.546,104.87,False
js_pure,medium_1920x1080_k15_p1,Medium,8.0,-1.0,3.531,2081.288,2271.883,102.71,False
js_pure,medium_1920x1080_k15_p1,Medium,16.0,-1.0,3.534,3864.735,4454.3,103.64,False
js_worker,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.483,287.095,293.303,102.82,True
js_worker,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.67,410.221,542.063,394.68,True
js_worker,medium_1920x1080_k15_p1,Medium,8.0,8.0,16.444,480.832,571.021,777.11,True
js_worker,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.49,591.109,657.575,1456.28,True
js_wasm,medium_1920x1080_k15_p1,Medium,1.0,-1.0,3.289,304.027,314.722,101.28,False
js_wasm,medium_1920x1080_k15_p1,Medium,4.0,-1.0,3.348,1146.498,2094.244,101.57,False
js_wasm,medium_1920x1080_k15_p1,Medium,8.0,-1.0,3.351,2185.471,2393.561,102.0,False
js_wasm,medium_1920x1080_k15_p1,Medium,16.0,-1.0,3.355,4045.509,4686.607,102.29,False
js_worker_wasm,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.281,304.713,312.756,103.27,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,4.0,4.0,9.351,422.975,551.379,393.04,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,8.0,8.0,15.952,491.566,579.781,767.07,True
js_worker_wasm,medium_1920x1080_k15_p1,Medium,16.0,16.0,26.12,601.167,659.408,1461.82,True
js_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,-1.0,3.566,280.403,288.448,100.95,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,-1.0,3.63,1060.633,1940.217,102.47,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,-1.0,3.628,2030.457,2212.032,102.01,False
js_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,-1.0,3.632,3772.3,4354.386,102.33,False
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,1.0,1.0,3.559,280.918,285.535,103.59,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,4.0,4.0,10.267,384.943,505.852,391.56,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,8.0,8.0,17.3,455.674,535.286,767.82,True
js_worker_wasm_simd,medium_1920x1080_k15_p1,Medium,16.0,16.0,28.52,549.496,606.471,1465.14,True
js_pure,large_1920x1080_k15_p10,Large,1.0,-1.0,0.371,2691.937,2698.245,100.0,False
js_pure,large_1920x1080_k15_p10,Large,4.0,-1.0,0.374,8405.767,14437.406,100.39,False
js_pure,large_1920x1080_k15_p10,Large,8.0,-1.0,0.373,14613.723,24097.106,100.39,False
js_pure,large_1920x1080_k15_p10,Large,16.0,-1.0,0.374,25907.578,43297.468,100.3,False
js_worker,large_1920x1080_k15_p10,Large,1.0,1.0,0.373,2677.563,2682.243,100.2,True
js_worker,large_1920x1080_k15_p10,Large,4.0,4.0,0.905,4206.555,5138.661,370.0,True
js_worker,large_1920x1080_k15_p10,Large,8.0,8.0,1.512,4585.581,5413.032,697.83,True
js_worker,large_1920x1080_k15_p10,Large,16.0,16.0,2.846,5567.357,5671.506,1556.9,True
